min_knee_angle,torso_tilt_min,torso_tilt_max,torso_tilt_mean,hip_knee_align_mean_deg,heel_lift_max_norm
49.1,144.36,179.75,154.02,86.62,0.201
52.56,146.07,179.75,159.53,113.85,0.362
55.58,140.51,179.42,157.24,109.99,0.017
53.53,141.27,180.0,158.88,114.73,0.0
51.03,139.78,180.0,159.61,114.29,0.0
51.98,141.81,179.42,159.8,114.42,0.026
53.42,142.43,179.8,161.07,116.21,0.0
78.21,136.93,178.44,168.4,151.98,0.035
80.13,136.16,180.0,161.27,132.93,0.0
75.48,135.43,174.99,152.45,111.96,0.0
63.974,139.66,176.74,160.074,109.639,0.248
58.894,143.569,177.101,166.706,122.196,0.0
65.182,141.642,174.814,161.308,155,0.0
72.184,137.263,177.211,159.124,118.271,0.0
58.127,141.52,176.861,163.318,140.687,0.032
58.127,142.156,178.226,151.155,107.343,0.0
72.634,138.348,178.513,160.942,119.37,0.167
66.139,141.461,180,163.083,151.874,0.048
56.244,141.175,179.426,154.086,108.715,0.35
64.34,137.571,177.135,164.575,152.624,0.0
56.293,142.073,176.652,161.354,132.74,0.226
56.274,142.682,178.738,158.339,109.876,0.037
61.936,144.249,176.02,162.531,131.383,0.05
45,144.161,180,169.083,137.506,0.0
46.201,136.867,179.769,160.727,131.193,0.072
55.502,138.187,177.296,160.993,91.736,0.027
51.897,142.545,175.43,158.163,106.912,0.0
62.514,142.541,180,156.601,115.545,0.0
52.736,142.545,177.828,163.321,118.66,0.31
48.702,148,179.857,156.576,131.172,0.052
71.725,142.713,175.608,160.286,123.199,0.009
58.194,144.407,177.101,158.089,95.964,0.042
60.54,143.862,178.008,161.916,126.844,0.0
48.602,142.954,178.07,161.335,130.991,0.0
55.645,140.054,177.325,164.15,130.076,0.009
60.887,143.277,178.934,157.96,139.454,0.018
50.792,138.682,176.399,158.921,135.011,0.0
63.006,140.29,177.786,156.085,128.265,0.068
55.195,139.544,178.18,158.223,118.737,0.0
57.666,141.246,178.772,161.509,90.103,0.026
55.186,147.944,179.067,163.028,127.733,0.0
74.818,135.398,176.313,156.311,123.738,0.034
59.892,143.059,175.699,163.478,124.888,0.047
51.538,136.162,179.917,165.423,97.019,0.04
66.58,139.584,178.498,161.654,100.541,0.0
50.233,144.267,176.877,167.507,138.957,0.0
61.671,141.193,180,156.905,119.288,0.033
45,137.767,178.174,155.021,132.267,0.037
49.375,138.854,179.769,152.885,120.51,0.078
61.575,143.039,178.101,165.984,120.536,0.0
65.908,138.809,180,162.617,136.889,0.029
61.371,141.649,180,159.778,110.711,0.243
59.075,141.137,177.627,161.12,121.73,0.034
57.591,139.045,179.457,155.498,111.679,0.0
48.172,147.432,178.968,169.783,112.179,0.051
54.241,142.902,180,160.517,114.435,0.0
56.315,135,176.553,160.438,123.998,0.0
68.457,141.559,179.029,162.903,111.383,0.111
62.749,139.015,179.588,161.924,142.604,0.0
45.896,143.557,175.362,160.896,103.897,0.052
62.593,138.622,176.225,156.838,116.636,0.054
56.919,140.656,174.941,161.886,112.085,0.043
54.585,142.515,177.596,167.528,146.046,0.007
64.893,143.597,179.076,165.382,123.538,0.0
68.248,137.399,180,166.373,138.573,0.063
67.45,139.996,178.111,157.955,93.26,0.007
53.286,139.575,180,156.042,124.807,0.0
57.526,139.04,175.93,159.497,136.013,0.036
62.65,146.296,175.445,160.223,121.481,0.0
67.804,142.215,177.917,164.377,139.179,0.0
